date,enso_mei,pdo_index,aao_index
1870-11-01,,-0.88,
1870-12-01,,-0.94,
1871-01-01,,-0.44,
1871-02-01,,0.0,
1871-03-01,,-0.18,
1871-04-01,,-0.51,
1871-05-01,,-0.93,
1871-06-01,,-0.36,
1871-07-01,,-0.38,
1871-08-01,,-0.09,
1871-09-01,,-0.58,
1871-10-01,,-0.8,
1871-11-01,,-0.9,
1871-12-01,,-0.29,
1872-01-01,,-0.39,
1872-02-01,,-0.55,
1872-03-01,,-0.2,
1872-04-01,,-0.49,
1872-05-01,,-0.03,
1872-06-01,,-0.82,
1872-07-01,,-0.95,
1872-08-01,,-1.02,
1872-09-01,,-0.51,
1872-10-01,,-0.11,
1872-11-01,,-1.74,
1872-12-01,,-2.1,
1873-01-01,,-2.06,
1873-02-01,,-2.11,
1873-03-01,,-1.67,
1873-04-01,,-0.69,
1873-05-01,,-0.49,
1873-06-01,,-0.8,
1873-07-01,,-1.14,
1873-08-01,,-1.05,
1873-09-01,,-0.87,
1873-10-01,,-0.7,
1873-11-01,,-1.06,
1873-12-01,,-0.86,
1874-01-01,,-0.74,
1874-02-01,,-1.18,
1874-03-01,,-0.24,
1874-04-01,,0.16,
1874-05-01,,0.01,
1874-06-01,,-0.26,
1874-07-01,,-0.21,
1874-08-01,,0.31,
1874-09-01,,0.15,
1874-10-01,,-0.04,
1874-11-01,,-0.0,
1874-12-01,,-1.13,
1875-01-01,,-1.42,
1875-02-01,,-1.53,
1875-03-01,,-1.18,
1875-04-01,,-1.24,
1875-05-01,,-0.65,
1875-06-01,,-0.79,
1875-07-01,,-0.64,
1875-08-01,,-0.8,
1875-09-01,,-0.64,
1875-10-01,,-1.19,
1875-11-01,,-0.9,
1875-12-01,,0.11,
1876-01-01,,-0.96,
1876-02-01,,-0.74,
1876-03-01,,-0.91,
1876-04-01,,-1.53,
1876-05-01,,-1.57,
1876-06-01,,-0.82,
1876-07-01,,-2.21,
1876-08-01,,-2.16,
1876-09-01,,-1.48,
1876-10-01,,-0.4,
1876-11-01,,-0.04,
1876-12-01,,-0.24,
1877-01-01,,-0.13,
1877-02-01,,-0.08,
1877-03-01,,-0.08,
1877-04-01,,-0.68,
1877-05-01,,-0.82,
1877-06-01,,-1.18,
1877-07-01,,-0.37,
1877-08-01,,-0.62,
1877-09-01,,-0.24,
1877-10-01,,0.02,
1877-11-01,,0.46,
