date,flow_m3s
2022-11-27,49.1
2022-11-28,49.3
2022-11-29,103.0
2022-11-30,62.8
2022-12-01,57.8
2022-12-02,78.7
2022-12-03,97.4
2022-12-04,119.0
2022-12-05,101.0
2022-12-06,96.6
2022-12-07,103.0
2022-12-08,70.9
2022-12-09,62.2
2022-12-10,53.1
2022-12-11,55.4
2022-12-12,56.4
2022-12-13,29.9
2022-12-14,16.8
2022-12-15,24.9
2022-12-16,33.3
2022-12-17,36.7
2022-12-18,38.6
2022-12-19,38.2
2022-12-20,37.6
2022-12-21,41.5
2022-12-22,43.7
2022-12-23,43.4
2022-12-24,44.7
2022-12-25,47.5
2022-12-26,47.9
2022-12-27,48.4
2022-12-28,48.2
2022-12-29,52.5
2022-12-30,51.4
